Algorithm,1000 Elements,5000 Elements,10000 Elements,25000 Elements,50000 Elements
quick_sort,0.0009987354278564,0.0045740604400634,0.0096373558044433,0.0287227630615234,0.0627908706665039
quick_sort,0.000232458114624,0.0046494007110595,0.0098598003387451,0.0276689529418945,0.07137131690979
quick_sort,0.0005178451538085,0.0046405792236328,0.0094845294952392,0.0313529968261718,0.0615816116333007
quick_sort,0.000701904296875,0.0045123109817505,0.009345531463623,0.0290167331695557,0.0632043123245239
quick_sort,0.0008125305175781,0.004732608795166,0.0099475383758545,0.0285313129425049,0.0648919343948364
quick_sort,0.0004230737686157,0.0046054124832153,0.0095465183258056,0.0301579236984253,0.0663745403289795
quick_sort,0.0006581544876098,0.0046942234039306,0.0097396373748779,0.0298460960388184,0.065139889717102
quick_sort,0.0003814697265625,0.0045340061187744,0.0094228982925415,0.027982234954834,0.062084674835205
quick_sort,0.0009458065032959,0.0046242475509643,0.0096372365951538,0.0304816961288452,0.0694746971130371
quick_sort,0.0006157159805298,0.0046536922454833,0.0097968578338623,0.0287520885467529,0.0703177452087402
quick_sort_mid_pivot,0.0010285377502441,0.008967638015747,0.0180726051330566,0.0482985973358154,0.1051340103149414
quick_sort_mid_pivot,0.0019910335540771,0.0075428485870361,0.0168430805206298,0.0475106239318847,0.105687141418457
quick_sort_mid_pivot,0.0010266304016113,0.0078420639038085,0.0156416893005371,0.0457522869110107,0.1035778522491455
quick_sort_mid_pivot,0.0010240077972412,0.0081441402435302,0.0172390937805175,0.0447497367858886,0.1042084693908691
quick_sort_mid_pivot,0.0015323162078857,0.0067987442016601,0.0169038772583007,0.0488576889038085,0.1035184860229492
quick_sort_mid_pivot,0.0009975433349609,0.0079219341278076,0.0176196098327636,0.047008991241455,0.1093049049377441
quick_sort_mid_pivot,0.0010311603546142,0.0077824592590332,0.0170283317565917,0.0480327606201171,0.101680040359497
quick_sort_mid_pivot,0.0011136531829833,0.0076758861541748,0.0166840553283691,0.0462887287139892,0.1096186637878418
quick_sort_mid_pivot,0.0009970664978027,0.0072660446166992,0.0173943042755126,0.0481541156768798,0.1172318458557128
quick_sort_mid_pivot,0.0016241073608398,0.0081233978271484,0.01894211769104,0.0457453727722168,0.1060991287231445
bubble_sort,0.0426967144012451,1.032762050628662,5.275849342346191,31.24155640602112,154.66834807395935
bubble_sort,0.031487226486206,0.9047563076019288,6.080827951431274,37.48412775993347,171.37941479682922
bubble_sort,0.0353960990905761,1.4996588230133057,5.86178469657898,37.80989742279053,168.06416130065918
bubble_sort,0.0380001068115234,1.2011234760284424,5.501278514862061,32.00187420845032,160.34274911880493
bubble_sort,0.0400046730041504,1.0998743772506714,5.602354526519775,33.00329852104187,162.4538791179657
bubble_sort,0.0371286869049072,1.300278663635254,5.700193405151367,34.00265836715698,164.26483130455017
bubble_sort,0.0392767190933227,1.3989386558532717,5.800672054290772,35.00412487983704,166.3920180797577
bubble_sort,0.0410026788711548,1.5034561157226562,5.903484344482422,36.00123453140259,168.1483175754547
bubble_sort,0.0362734794616699,1.5987656116485596,6.000972747802734,37.00235652923584,170.5483675003052
bubble_sort,0.0420986413955688,1.7012453079223633,6.101789474487305,38.003456115722656,172.3412890434265
insertion_sort,0.014531135559082,0.4528956413269043,1.8140451908111568,12.42055344581604,50.636252641677856
insertion_sort,0.015960693359375,0.4417612552642822,2.2018942832946777,13.951555013656616,63.828307151794434
insertion_sort,0.0149056911468505,0.5869271755218506,2.1640512943267822,14.183565139770508,62.46656394004822
insertion_sort,0.0161037445068359,0.4871268272399902,1.923874855041504,12.683452129364014,51.23798584938049
insertion_sort,0.0139820575714111,0.4620919227600097,2.0328431129455566,13.472665071487429,54.08945393562317
insertion_sort,0.0157840251922607,0.5312788486480713,2.165328025817871,14.023456573486328,61.87321472167969
insertion_sort,0.0143740177154541,0.5064733028411865,1.872563362121582,12.859631299972534,53.65284538269043
insertion_sort,0.0139124393463135,0.4698973894119262,2.1034858226776123,13.259274959564207,57.16436243057251
insertion_sort,0.0150566101074219,0.5129034519195557,2.14567232131958,14.048276662826538,62.84711265563965
insertion_sort,0.0147690773010254,0.4803822040557861,1.975481987953186,12.96451711654663,56.43829703330994
shell_sort,0.0016336441040039,0.0146617889404296,0.0326948165893554,0.1109602451324462,0.2036991119384765
shell_sort,0.0,0.0077803134918212,0.0194153785705566,0.0661168098449707,0.15763521194458
shell_sort,0.0009763240814208,0.0083394050598144,0.0210251808166503,0.0661752223968505,0.1902120113372802
shell_sort,0.0010144710540771,0.0084340572357177,0.0199420452117919,0.0703060626983642,0.1769561767578125
shell_sort,0.0010545253753662,0.0076754093170166,0.0190143585205078,0.0688936710357666,0.1840219497680664
shell_sort,0.0020239353179931,0.00822114944458,0.0215630531311035,0.0674319267272949,0.1796536445617675
shell_sort,0.0012111663818359,0.0084335803985595,0.0238656997680664,0.0729010105133056,0.1646814346313476
shell_sort,0.0045597553253173,0.0240325927734375,0.0206286907196044,0.0630469322204589,0.1621413230895996
shell_sort,0.0020132064819335,0.0079932212829589,0.0191113948822021,0.0725791454315185,0.1777162551879882
shell_sort,0.0009994506835937,0.008866548538208,0.0200750827789306,0.1039698123931884,0.1720130443572998
