Algorithm,1000 Elements,5000 Elements,10000 Elements,25000 Elements,50000 Elements
quick_sort,0.016028881072998,0.4165778160095215,1.747358322143555,10.905165195465088,44.08588647842407
quick_sort,0.0163204669952392,0.4199674129486084,1.7861530780792236,11.813523769378662,43.794912815094
quick_sort,0.0171198844909667,0.4533913135528564,1.7724051475524902,11.840205192565918,45.93591547012329
quick_sort,0.0164592266082764,0.4207481145858765,1.7685346603393557,10.96342635154724,44.53217625617981
quick_sort,0.0170834064483642,0.4173521394729614,1.798126220703125,11.472316026687622,44.8412938117981
quick_sort,0.0159721374511718,0.4263813495635986,1.760392665863037,11.21045184135437,45.26753115653992
quick_sort,0.0171923637390136,0.4287434816360474,1.7840399742126465,11.543278694152832,46.02837800979614
quick_sort,0.0160348415374755,0.4231677055358886,1.7752413749694824,11.002134084701538,45.01462364196777
quick_sort,0.0172762870788574,0.4295825958251953,1.7892136573791504,11.695014476776125,46.52909898757935
quick_sort,0.0164923667907714,0.4243186712265015,1.7700235843658447,11.309127569198608,45.684316873550415
quick_sort_mid_pivot,0.0010905265808105,0.0060298442840576,0.012559175491333,0.0333893299102783,0.0692310333251953
quick_sort_mid_pivot,0.0,0.0061054229736328,0.0124983787536621,0.0388550758361816,0.0671315193176269
quick_sort_mid_pivot,0.0010273456573486,0.0057852268218994,0.0110166072845458,0.0313749313354492,0.0670728683471679
quick_sort_mid_pivot,0.0015218257904052,0.0052187442779541,0.0116603374481201,0.0309560298919677,0.0650756359100341
quick_sort_mid_pivot,0.0009996891021728,0.0056567192077636,0.0104501247406005,0.031508445739746,0.0653965473175048
quick_sort_mid_pivot,0.0010151863098144,0.005681037902832,0.0114710330963134,0.0312511920928955,0.0645647048950195
quick_sort_mid_pivot,0.0010285377502441,0.0055909156799316,0.0112922191619873,0.0310480594635009,0.0654489994049072
quick_sort_mid_pivot,0.0011172294616699,0.0054168701171875,0.012383222579956,0.0320863723754882,0.0657975673675537
quick_sort_mid_pivot,0.0009803771972656,0.0044562816619873,0.0111591815948486,0.0327558517456054,0.0648891925811767
quick_sort_mid_pivot,0.0009999275207519,0.0060737133026123,0.0116195678710937,0.0322580337524414,0.0664815902709961
bubble_sort,0.0445678234100341,1.3672261238098145,5.645326137542725,36.08557152748108,157.1090805530548
bubble_sort,0.0412845611572265,1.1341383457183838,7.1529622077941895,44.65954899787903,195.7549951076508
bubble_sort,0.0437300205230712,1.8620672225952148,7.890895128250122,43.38582158088684,195.33201479911804
bubble_sort,0.0451029539108276,1.4289357662200928,5.708431005477905,36.49356770515442,158.32435607910156
bubble_sort,0.042217493057251,1.2018473148345947,6.964738607406616,44.12054657936096,193.58214926719663
bubble_sort,0.0440136194229125,1.8098456859588623,7.702457666397094,43.61928772926331,194.6083989143372
bubble_sort,0.0431959629058837,1.37892484664917,5.789273500442505,36.27869319915772,157.51297616958618
bubble_sort,0.0417029857635498,1.126893162727356,7.043583869934082,44.37758088111877,196.12048530578613
bubble_sort,0.0443892478942871,1.865412712097168,7.812369346618652,43.55197811126709,194.93758344650269
bubble_sort,0.0438799858093261,1.315678596496582,6.98549747467041,36.68902373313904,159.00175213813782
insertion_sort,0.0266096591949462,0.7452797889709473,3.2945878505706787,23.558093786239624,97.6918351650238
insertion_sort,0.0289804935455322,0.8168232440948486,4.309776544570923,27.73689651489257,126.14687633514404
insertion_sort,0.0275354385375976,0.8599231243133545,4.36780571937561,26.972169399261475,125.97055006027222
insertion_sort,0.0271031856536865,0.7503460645675659,3.358492374420166,24.01578950881958,98.3254895210266
insertion_sort,0.0291259288787841,0.8127598762512207,4.203874349594116,27.30481767654419,124.8790237903595
insertion_sort,0.0268478393554687,0.87213551902771,4.28743839263916,27.051328659057617,126.51284050941469
insertion_sort,0.0284324884414672,0.798532247543335,3.953742980957031,24.783926963806152,105.46294784545898
insertion_sort,0.0279874801635741,0.8359185457229614,4.078569889068604,26.486572265625,122.10348963737488
insertion_sort,0.0267856121063232,0.7642381191253662,3.412345171928406,23.96521472930908,101.45972418785097
insertion_sort,0.0285692214965821,0.8495618104934692,4.210948467254639,25.913789987564087,118.6345796585083
shell_sort,0.001000165939331,0.0055534839630126,0.0278177261352539,0.0552694797515869,0.098778486251831
shell_sort,0.0010149478912353,0.0055916309356689,0.0125932693481445,0.0378212928771972,0.0709187984466552
shell_sort,0.0010130405426025,0.0057871341705322,0.012516975402832,0.0344879627227783,0.0841259956359863
shell_sort,0.001000165939331,0.006033182144165,0.0120520591735839,0.0354878902435302,0.0849435329437255
shell_sort,0.0,0.0060255527496337,0.0114500522613525,0.0341026782989501,0.0791594982147216
shell_sort,0.0010082721710205,0.0045766830444335,0.0123553276062011,0.0367219448089599,0.0845639705657959
shell_sort,0.0010905265808105,0.0054423809051513,0.0137233734130859,0.0389237403869628,0.0741684436798095
shell_sort,0.0059406757354736,0.0195176601409912,0.0267539024353027,0.0356662273406982,0.078026533126831
shell_sort,0.0009875297546386,0.0055603981018066,0.0123400688171386,0.0379812717437744,0.0887398719787597
shell_sort,0.0,0.0050466060638427,0.0133745670318603,0.0482518672943115,0.084869384765625
merge_sort,0.0010292530059814,0.0065381526947021,0.0150885581970214,0.0419864654541015,0.083522081375122
merge_sort,0.0005121231079101,0.0072486400604248,0.013139009475708,0.041748046875,0.0845036506652832
merge_sort,0.0010557174682617,0.007580280303955,0.0156178474426269,0.0401732921600341,0.0872924327850341
merge_sort,0.0,0.0071344375610351,0.0136780738830566,0.0398180484771728,0.0868229866027832
merge_sort,0.0012896060943603,0.0061607360839843,0.0143382549285888,0.0425708293914794,0.0862858295440673
merge_sort,0.0010504722595214,0.0065503120422363,0.0147159099578857,0.0958719253540039,0.0935366153717041
merge_sort,0.0017192363739013,0.0065906047821044,0.0145087242126464,0.041771650314331,0.0849142074584961
merge_sort,0.0009946823120117,0.0066020488739013,0.0148406028747558,0.040196418762207,0.0853166580200195
merge_sort,0.0010256767272949,0.0075578689575195,0.0300681591033935,0.0460925102233886,0.0866901874542236
merge_sort,0.0010499954223632,0.0059964656829833,0.0150146484375,0.0409784317016601,0.0862939357757568
heap_sort,0.0010464191436767,0.0107767581939697,0.0247366428375244,0.0684893131256103,0.1479773521423339
